Hãng sản xuất,Bộ nhớ trong_,Ram_,Chipset(CPU),man hinh,pin,Primary,Ultra_Wide,Telephoto,Giá
Xiaomi,1,24,Mediatek Dimensity 9200+ (4 nm),6.67,5000,8,2,0,Liên hệ
ZTE,256,12,Qualcomm Snapdragon 8+ Gen 2 (4 nm),6.8,5000,50,8,2,Liên hệ
Xiaomi,128,8,Mediatek Dimensity 6080 (6 nm),6.67,5000,100,2,0,5990000
Samsung,32,3,Mediatek MT6765 Helio P35 (12nm),6.5,5000,13,2,0,3990000
Xiaomi,128,8,Snapdragon 8 Gen 2 (4 nm),6.67,5000,54,8,2,10990000
Xiaomi,256,12,Dimensity 7200 Ultra (4 nm),6.67,5000,200,8,2,10990000
Xiaomi,128,6,MediaTek Dimensity 1080 (6 nm),6.67,5000,8,2,0,Liên hệ
Samsung,256,12,Snapdragon 8 Gen 2 for Galaxy,7.6,4400,50,12,12,40990000
ZTE,64,2,Unisoc SC9863A,6.6,5000,5,2,0,1790000
Samsung,512,12,Snapdragon 8 Gen 3 (4 nm),6.3,4400,50,10,12,47990000
INOI,,,,2,1000,3,0,0,1190000
Tecno,256,8,Mediatek Helio G88 (12nm),6.8,5000,50,8,0,4990000
Tecno,128,4,Mediatek,6.6,5000,50,8,0,2690000
Xiaomi,256,16,,6.67,5000,64,8,2,9090000
Samsung,256,12,Snapdragon 8 Gen 3 (4 nm),6.8,5000,200,50,10,33990000
Xiaomi,256,12,Qualcomm Snapdragon 8 Gen 3 (4 nm),6.36,4610,50,50,50,22990000
Samsung,128,8,Mediatek Helio G99,6.5,5000,50,5,2,4990000
Xiaomi,128,8,Snapdragon 680 4G (6 nm),11.0,8000,8,0,0,4990000
Oppo,128,8,"Qualcomm Snapdragon 662, t?i da 2.0GHz",6.43,5000,48,2,2,6990000
Apple,256,4,Apple A15 Bionic (5 nm),6.1,3240,12,12,0,27689000
Apple,128,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,10289000
Apple,256,4,Apple A12 Bionic (7 nm),6.5,3174,12,12,0,10589000
Apple,128,6,Apple A14 Bionic (5nm),6.7,3687,12,12,12,Cập Nhật
Apple,256,6,Apple A15 Bionic (5 nm),6.7,4352,12,12,12,23789000
Oppo,128,4,Mediatek MT6769 Helio G85 (12nm),6.56,5000,50,2,0,4989000
Apple,128,3,Apple A11 Bionic (10 nm),5.5,2691,12,12,0,Cập Nhật
Samsung,128,8,Exynos 2200 (4 nm),6.4,4500,12,50,8,14899000
Samsung,256,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,44490000
Apple,128,6,Apple A14 Bionic (5nm),6.7,3687,12,12,12,18689000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,3200,48,12,12,24489000
Apple,128,6,Apple A16 Bionic (4 nm),6.1,3279,12,48,0,Cập Nhật
Apple,64,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,Cập Nhật
Oppo,256,8,Mediatek Dimensity 8200 (4 nm),6.7,4800,50,8,32,10989000
Xiaomi,128,6,Mediatek MT6769Z Helio G85 (12nm),6.74,5000,2,50,8,2990000
Samsung,256,8,Exynos 2400 (4 nm) 10 nhân,6.2,4000,50,10,12,22990000
Samsung,256,8,Mediatek Helio G99 (6nm),6.5,5000,50,2,5,5189000
Samsung,128,6,Exynos 1280 (5 nm),6.5,5000,50,2,8,6589000
Apple,128,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,9289000
Samsung,128,8,Exynos 1480,6.6,5000,12,5,50,9990000
Samsung,512,12,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),6.7,4000,12,50,0,32900000
Apple,1,8,Apple A17 Pro (3 nm),6.1,3.274,48,12,0,43999000
Samsung,1,12,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),7.6,4400,50,12,10,50989000
Apple,128,6,Apple A14 Bionic (5nm),6.7,3687,12,12,12,Cập Nhật
Apple,64,4,Apple A14 Bionic (5nm),6.1,2815,12,12,0,11389000
Apple,128,6,Apple A16 Bionic (4 nm),6.1,3279,12,48,0,21299000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,25989000
Samsung,32,3,Mediatek MT6765 Helio P35 (12nm),6.5,5000,13,2,0,3189000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,,12,48,0,21299000
Samsung,128,8,Exynos 1280 (5 nm),6.5,6000,50,8,2,7689000
Apple,512,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,33989000
Apple,512,6,Apple A16 Bionic (4 nm),6.7,4383,12,48,0,34999000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3279,12,12,0,21989000
Xiaomi,128,6,Mediatek MT6769Z Helio G85 (12nm),6.74,5000,8,2,50,3489000
Apple,256,4,Apple A13 Bionic (7 nm+),5.8,3046,12,12,12,12089000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,25989000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4352,12,12,12,24489000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,,12,48,0,21299000
Samsung,512,8,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),6.7,3700,12,12,0,26589000
Samsung,128,4,MediaTek Helio G85 (12nm),6.7,5000,50,2,0,4189000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3279,12,12,0,16889000
Samsung,128,4,Snapdragon 680,6.7,5000,50,2,2,3989000
Apple,128,4,Apple A15 Bionic (5 nm),6.1,3240,12,12,0,15489000
Apple,64,4,Apple A13 Bionic (7 nm+),6.5,3969,12,12,12,12789000
Samsung,256,12,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),6.7,4000,12,50,0,28990000
Xiaomi,256,12,	Snapdragon 8 Gen 3,6.36,4610,50,50,50,22999000
Apple,64,3,Apple A13 Bionic (7 nm+),4.7,1821,12,0,0,5489000
Apple,256,6,Apple A15 Bionic (5 nm),6.7,4352,12,12,12,25189000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,,12,48,0,19999000
Samsung,256,12,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),6.7,4000,12,50,0,32900000
Samsung,256,8,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),6.8,5000,12,10,10,28589000
Apple,512,8,Apple A17 Pro (3 nm),6.1,3.274,48,12,0,37999000
Apple,256,6,Apple A16 Bionic (4 nm),6.7,4383,12,48,0,28999000
Apple,256,8,Apple A17 Pro (3 nm),6.1,,48,12,0,27799000
Apple,64,4,Apple A13 Bionic (7 nm+),4.7,2018,12,0,0,6289000
Xiaomi,128,4,Mediatek Helio G88 (12nm),6.79,5000,8,50,2,4289000
Samsung,256,8,Exynos 2200 (4 nm),6.4,4500,12,50,8,16899000
Samsung,128,8,Mediatek Helio G99 (6nm),6.5,5000,50,2,5,4589000
Apple,64,4,Apple A14 Bionic (5nm),6.1,2815,12,12,0,12589000
Apple,128,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,16989000
Apple,512,6,Apple A15 Bionic (5 nm),6.1,3279,12,12,0,28989000
Samsung,128,4,MediaTek Helio G85 (12nm),6.7,5000,50,2,0,3189000
Samsung,128,4,Mediatek Helio G99 (6nm),6.5,5000,50,2,5,5189000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,20989000
Samsung,256,12,Exynos 2400 (4 nm) 10 nhân,6.7,4900,50,10,12,26990000
Apple,1,6,Apple A16 Bionic (4 nm),6.1,3200,48,12,12,36989000
Samsung,128,8,Exynos 1380 (5 nm),6.6,5000,8,5,50,8290000
Xiaomi,128,8,Mediatek Helio G99 Ultra,6.67,5000,2,8,200,6789000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3095,12,12,12,23489000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4383,12,48,0,Cập Nhật
Samsung,512,12,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),7.6,4400,50,10,12,47990000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4352,12,12,12,22689000
Xiaomi,64,6,Mediatek Helio G96 (12 nm),6.43,5000,2,108,8,6689000
Apple,64,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,14989000
Apple,512,6,Apple A16 Bionic (4 nm),6.1,3200,48,12,12,35989000
Samsung,128,8,Exynos 1280 (5 nm),6.5,5000,50,2,8,6989000
Oppo,128,6,Mediatek MT6769 Helio G85 (12nm),6.72,5000,2,50,0,4989000
Apple,64,4,Apple A13 Bionic (7 nm+),5.8,3046,12,12,12,10989000
Apple,128,6,Apple A14 Bionic (5nm),6.7,3687,12,12,12,Cập Nhật
Apple,128,6,Apple A14 Bionic (5nm),6.7,3687,12,12,12,20889000
Apple,256,6,Apple A14 Bionic (5nm),6.1,2815,12,12,12,15089000
Apple,64,4,Apple A13 Bionic (7 nm+),6.1,3110,12,12,0,Cập Nhật
Apple,256,6,Apple A14 Bionic (5nm),6.1,2815,12,12,12,16189000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4383,12,48,0,21999000
Samsung,128,6, Mediatek Dimensity 6100 Plus,6.45,6000,2,2,50,4990000
Samsung,256,12,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),7.6,4400,50,12,10,40989000
Xiaomi,64,3,Mediatek Helio G36 (12 nm),6.71,5000,8,8,0,2490000
Apple,512,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,22489000
Apple,256,4,Apple A13 Bionic (7 nm+),5.8,3046,12,12,12,13189000
Apple,64,4,Apple A14 Bionic (5nm),6.1,2815,12,12,0,12589000
Apple,256,8,Apple A17 Pro (3 nm),6.7,4441,48,12,0,Cập Nhật
Samsung,256,12,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),7.6,4400,50,10,12,43990000
Samsung,128,8,Exynos 1480,6.6,5000,12,5,50,9990000
Samsung,128,4,MediaTek Helio G85 (12nm),6.7,5000,50,2,0,Cập Nhật
Xiaomi,128,8,Mediatek Dimensity 6080 (6 nm),6.67,5000,108,2,8,6789000
Apple,256,8,Apple A17 Pro (3 nm),6.7,,48,12,0,27799000
Apple,64,4,Apple A12 Bionic (7 nm),6.5,3174,12,12,0,9489000
Samsung,1,12,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),7.6,4200,50,10,12,49989000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3095,12,12,12,Cập Nhật
Apple,256,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,27189000
Apple,1,8,Apple A17 Pro (3 nm),6.7,4441,48,12,0,46999000
Apple,256,8,Apple A17 Pro (3 nm),6.7,4441,48,12,0,31999000
Realme,64,4,Unisoc Tiger T612,6.74,5000,13,8,0,2790000
Apple,128,6,Apple A16 Bionic (4 nm),6.1,3200,48,12,12,23989000
Samsung,512,12,Exynos 2400 (4 nm) 10 nhân,6.5,4900,50,10,12,22990000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,24689000
Oppo,512,12,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),7.82,4805,48,64,48,44989000
Samsung,128,6,Exynos 1330 (5nm),6.6,6000,2,2,50,5789000
Samsung,512,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,37490000
Samsung,128,4,Mediatek MT6765 Helio P35 (12nm),6.5,5000,13,0,0,3489000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,3200,48,12,12,29989000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,24689000
Apple,128,8,Apple A17 Pro (3 nm),6.1,3.274,48,12,0,Cập Nhật
Samsung,128,4,Snapdragon 680,6.7,5000,50,2,2,3989000
Samsung,128,8,Exynos 1480,6.6,5000,12,5,50,9990000
Apple,64,4,Apple A14 Bionic (5nm),6.1,2815,12,12,0,13789000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,20989000
Apple,128,4,Apple A15 Bionic (5 nm),6.1,3240,12,12,0,16489000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,24989000
Oppo,128,8,Qualcomm SM6225 Snapdragon 680 4G (6 nm),6.43,5000,50,2,0,6989000
Apple,512,8,Apple A17 Pro (3 nm),6.7,4441,48,12,0,40999000
Apple,128,4,Apple A15 Bionic (5 nm),6.1,3240,12,12,0,Cập Nhật
Samsung,256,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,33990000
Samsung,128,8,Mediatek Helio G99 (6nm),6.5,5000,50,2,5,5189000
Samsung,1,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,44490000
Apple,64,4,Apple A13 Bionic (7 nm+),6.5,3969,12,12,12,13789000
Xiaomi,128,8,Snapdragon 685 8 nhân,6.67,5000,108,2,8,5889000
Apple,256,6,Apple A16 Bionic (4 nm),6.7,,12,48,0,21999000
Apple,64,4,Apple A13 Bionic (7 nm+),4.7,2018,12,0,0,6289000
Apple,128,6,Apple A14 Bionic (5nm),6.1,2815,12,12,12,Cập Nhật
Apple,256,8,Apple A17 Pro (3 nm),6.1,4441,48,12,0,31999000
Samsung,128,8,Exynos 1380 (5 nm),6.6,5000,8,5,50,8290000
Oppo,128,4,Mediatek MT6769 Helio G85 (12nm),6.56,5000,8,2,0,4989000
Oppo,256,8,Mediatek Dimensity 7050 (6 nm),6.7,5000,2,64,8,8990000
Apple,256,6,Apple A16 Bionic (4 nm),6.7,,12,48,0,20999000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3279,12,12,0,17989000
Xiaomi,64,3,Mediatek Helio G36 (12 nm),6.71,5000,8,8,0,2490000
Samsung,256,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,37490000
Apple,512,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,37989000
Samsung,512,12,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),6.7,4000,12,50,0,32900000
Samsung,512,12,Exynos 2400 (4 nm) 10 nhân,6.5,4900,50,10,12,30490000
Samsung,512,12,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),7.6,4400,50,12,10,42989000
Oppo,256,12,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),6.8,4300,48,50,32,22989000
Samsung,128,6,Mediatek MT8781 Helio G99 (6nm),6.5,5000,50,5,2,6989000
Apple,64,4,Apple A12 Bionic (7 nm),5.8,2658,12,12,0,7789000
Oppo,128,8,Qualcomm SM6225 Snapdragon 680 4G (6 nm),6.56,5000,50,2,0,5490000
Samsung,256,12,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),7.6,4400,50,10,12,43990000
Samsung,128,8,Exynos 1380 (5 nm),6.6,5000,8,5,50,8290000
Xiaomi,128,6,Snapdragon 685 8 nhân,6.67,5000,108,2,8,4799000
Samsung,128,4, Mediatek Dimensity 6100 Plus,6.45,6000,2,2,50,4690000
Apple,256,6,Apple A16 Bionic (4 nm),6.1,3279,12,48,0,25999000
Apple,64,3,Apple A11 Bionic (10 nm),5.5,2691,12,12,0,5689000
Samsung,128,8,Exynos 2200 (4 nm),6.4,4500,12,50,8,14899000
Apple,64,3,Apple A11 Bionic (10 nm),5.5,2691,12,12,0,6189000
Samsung,64,3,Mediatek MT6765 Helio P35 (12nm),6.5,5000,13,2,0,3189000
Apple,128,6,Apple A15 Bionic (5 nm),6.1,3095,12,12,12,21189000
Apple,256,4,Apple A13 Bionic (7 nm+),6.5,3969,12,12,12,14789000
Xiaomi,64,3,Mediatek Helio G36 (12 nm),6.52,5000,8,8,0,Cập Nhật
Apple,128,6,Apple A16 Bionic (4 nm),6.7,4383,12,48,0,20999000
Apple,256,6,Apple A16 Bionic (4 nm),6.7,,12,48,0,21999000
Oppo,256,8,Qualcomm SM6225 Snapdragon 680 4G (6 nm),6.67,5000,50,2,0,6490000
Apple,128,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,Cập Nhật
Apple,128,8,Apple A17 Pro (3 nm),6.1,3.274,48,12,0,Cập Nhật
Samsung,256,12,Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),6.8,5000,50,10,12,33990000
Samsung,128,4, Mediatek Dimensity 6100 Plus,6.45,6000,2,2,50,4690000
Samsung,512,12,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),7.6,4400,50,10,12,47990000
Apple,256,4,Apple A13 Bionic (7 nm+),6.5,3969,12,12,12,15789000
Apple,128,6,Apple A16 Bionic (4 nm),6.1,3279,12,48,0,Cập Nhật
Samsung,256,12,Exynos 2400 (4 nm) 10 nhân,6.7,4900,50,10,12,30490000
Samsung,256,8,Exynos 2400 (4 nm) 10 nhân,6.2,4000,50,10,12,22990000
Apple,256,6,Apple A15 Bionic (5 nm),6.7,4323,12,12,0,21989000
Apple,128,6,Apple A16 Bionic (4 nm),6.7,,12,48,0,Cập Nhật
Apple,128,8,Apple A17 Pro (3 nm),6.1,3.274,48,12,0,26999000
Apple,256,6,Apple A16 Bionic (4 nm),6.7,4323,48,12,12,35990000
Apple,512,6,Apple A16 Bionic (4 nm),6.1,3279,12,48,0,31999000
Samsung,256,8,Exynos 2400 (4 nm) 10 nhân,6.2,4000,50,10,12,26490000
Oppo,256,8,Mediatek MT6877V Dimensity 7050 (6 nm),6.7,5000,64,32,8,10900000
Apple,128,6,Apple A14 Bionic (5nm),6.1,2815,12,12,12,Cập Nhật
